Time,Asteroid,VelocityX,VelocityY,VelocityZ
2025-04-11 10:46:38.023,37,2.423018,23.62938,-8.308722
2025-04-11 10:46:38.037,9,-0.4428529,-14.89673,-1.16273
2025-04-11 10:46:38.038,23,2.557174,-19.22803,-4.284588
2025-04-11 10:46:38.039,28,-6.749616,11.23952,5.379989
2025-04-11 10:46:38.039,33,17.09015,-20.031,-2.188801
2025-04-11 10:46:38.041,37,2.422742,23.62978,-8.323564
2025-04-11 10:46:38.055,9,-0.4404294,-14.89998,-1.178543
2025-04-11 10:46:38.056,23,2.554895,-19.23016,-4.297394
2025-04-11 10:46:38.056,28,-6.755524,11.239,5.370815
2025-04-11 10:46:38.058,33,17.10118,-20.03971,-2.216471
2025-04-11 10:46:38.058,37,2.422456,23.6301,-8.33847
2025-04-11 10:46:38.071,9,-0.4392142,-14.90158,-1.186466
2025-04-11 10:46:38.072,23,2.553749,-19.2312,-4.303814
2025-04-11 10:46:38.072,28,-6.75847,11.23874,5.366227
2025-04-11 10:46:38.073,33,17.10669,-20.04404,-2.230447
2025-04-11 10:46:38.073,37,2.422308,23.63023,-8.345948
2025-04-11 10:46:38.087,9,-0.4367768,-14.90475,-1.202343
2025-04-11 10:46:38.088,23,2.551442,-19.23325,-4.31669
2025-04-11 10:46:38.088,28,-6.764347,11.23819,5.357048
2025-04-11 10:46:38.090,33,17.11767,-20.05261,-2.258683
2025-04-11 10:46:38.091,37,2.422006,23.63042,-8.360952
2025-04-11 10:46:38.108,9,-0.43433,-14.90787,-1.218265
2025-04-11 10:46:38.110,23,2.549117,-19.23524,-4.329613
2025-04-11 10:46:38.110,28,-6.770203,11.23761,5.347865
2025-04-11 10:46:38.111,33,17.12862,-20.06107,-2.287299
2025-04-11 10:46:38.111,37,2.421693,23.63053,-8.37602
2025-04-11 10:46:38.127,9,-0.4331032,-14.90941,-1.226241
2025-04-11 10:46:38.128,23,2.547947,-19.23623,-4.336091
2025-04-11 10:46:38.129,28,-6.773123,11.23731,5.343272
2025-04-11 10:46:38.130,33,17.13408,-20.06526,-2.30175
2025-04-11 10:46:38.130,37,2.421532,23.63055,-8.383578
2025-04-11 10:46:38.145,9,-0.4306427,-14.91244,-1.242227
2025-04-11 10:46:38.145,23,2.545594,-19.23815,-4.349082
2025-04-11 10:46:38.146,28,-6.778947,11.2367,5.334084
2025-04-11 10:46:38.147,33,17.14497,-20.07356,-2.33094
2025-04-11 10:46:38.147,37,2.421202,23.63053,-8.39874
2025-04-11 10:46:38.160,9,-0.4281731,-14.91543,-1.258255
2025-04-11 10:46:38.161,23,2.543223,-19.24002,-4.362119
2025-04-11 10:46:38.162,28,-6.784751,11.23606,5.324892
2025-04-11 10:46:38.162,33,17.15581,-20.08175,-2.360514
2025-04-11 10:46:38.163,37,2.420861,23.63042,-8.413962
2025-04-11 10:46:38.174,9,-0.4269348,-14.9169,-1.266284
2025-04-11 10:46:38.175,23,2.54203,-19.24094,-4.368654
2025-04-11 10:46:38.177,28,-6.787645,11.23573,5.320294
2025-04-11 10:46:38.177,33,17.16121,-20.08579,-2.375445
2025-04-11 10:46:38.177,37,2.420686,23.63033,-8.421597
2025-04-11 10:46:38.193,9,-0.4244515,-14.9198,-1.282375
2025-04-11 10:46:38.195,23,2.53963,-19.24273,-4.381758
2025-04-11 10:46:38.196,28,-6.793417,11.23506,5.311098
2025-04-11 10:46:38.197,33,17.17196,-20.09378,-2.405598
2025-04-11 10:46:38.197,37,2.420329,23.63008,-8.43691
2025-04-11 10:46:38.211,9,-0.4219591,-14.92264,-1.298507
2025-04-11 10:46:38.212,23,2.537212,-19.24447,-4.394906
2025-04-11 10:46:38.214,28,-6.799168,11.23436,5.301898
2025-04-11 10:46:38.214,33,17.18266,-20.10164,-2.436139
2025-04-11 10:46:38.215,37,2.41996,23.62974,-8.45228
2025-04-11 10:46:38.227,9,-0.4207096,-14.92404,-1.306589
2025-04-11 10:46:38.228,23,2.535996,-19.24532,-4.401497
2025-04-11 10:46:38.229,28,-6.802035,11.234,5.297297
2025-04-11 10:46:38.229,33,17.18798,-20.10552,-2.451555
2025-04-11 10:46:38.230,37,2.419771,23.62954,-8.459987
2025-04-11 10:46:38.240,9,-0.4182037,-14.9268,-1.322783
2025-04-11 10:46:38.240,23,2.533551,-19.24698,-4.414711
2025-04-11 10:46:38.242,28,-6.807754,11.23326,5.288094
2025-04-11 10:46:38.243,33,17.19858,-20.11316,-2.482678
2025-04-11 10:46:38.243,37,2.419385,23.62906,-8.475443
2025-04-11 10:46:38.255,9,-0.4156889,-14.92951,-1.339017
2025-04-11 10:46:38.257,23,2.531086,-19.24859,-4.427968
2025-04-11 10:46:38.258,28,-6.813452,11.2325,5.278889
2025-04-11 10:46:38.258,33,17.20911,-20.12066,-2.51419
2025-04-11 10:46:38.259,37,2.418987,23.62849,-8.490954
2025-04-11 10:46:38.271,9,-0.4144281,-14.93084,-1.347149
2025-04-11 10:46:38.272,23,2.529847,-19.24938,-4.434612
2025-04-11 10:46:38.274,28,-6.816292,11.23211,5.274285
2025-04-11 10:46:38.274,33,17.21434,-20.12435,-2.530093
2025-04-11 10:46:38.275,37,2.418784,23.62816,-8.498731
2025-04-11 10:46:38.291,9,-0.4119,-14.93346,-1.363443
2025-04-11 10:46:38.293,23,2.527354,-19.2509,-4.447933
2025-04-11 10:46:38.293,28,-6.821958,11.23131,5.265077
2025-04-11 10:46:38.294,33,17.22474,-20.13161,-2.562189
2025-04-11 10:46:38.294,37,2.418368,23.62745,-8.514323
2025-04-11 10:46:38.305,9,-0.4093631,-14.93602,-1.379776
2025-04-11 10:46:38.306,23,2.524843,-19.25238,-4.461296
2025-04-11 10:46:38.307,28,-6.827601,11.23049,5.255867
2025-04-11 10:46:38.307,33,17.23506,-20.1387,-2.594675
2025-04-11 10:46:38.308,37,2.417941,23.62664,-8.529967
2025-04-11 10:46:38.321,9,-0.4080913,-14.93728,-1.387958
2025-04-11 10:46:38.322,23,2.523581,-19.25309,-4.467993
2025-04-11 10:46:38.323,28,-6.830415,11.23007,5.251261
2025-04-11 10:46:38.323,33,17.24019,-20.14219,-2.611063
2025-04-11 10:46:38.324,37,2.417723,23.62619,-8.537808
2025-04-11 10:46:38.340,9,-0.4055413,-14.93976,-1.40435
2025-04-11 10:46:38.341,23,2.521042,-19.25448,-4.481417
2025-04-11 10:46:38.341,28,-6.836026,11.22921,5.242048
2025-04-11 10:46:38.342,33,17.25036,-20.14902,-2.644132
2025-04-11 10:46:38.342,37,2.417278,23.62523,-8.553528
2025-04-11 10:46:38.358,9,-0.4029826,-14.94218,-1.42078
2025-04-11 10:46:38.359,23,2.518484,-19.25581,-4.494883
2025-04-11 10:46:38.359,28,-6.841615,11.22832,5.232834
2025-04-11 10:46:38.359,33,17.26044,-20.15567,-2.677587
2025-04-11 10:46:38.362,37,2.416821,23.62418,-8.569296
2025-04-11 10:46:38.385,9,-0.4017,-14.94336,-1.429009
2025-04-11 10:46:38.385,23,2.517199,-19.25646,-4.50163
2025-04-11 10:46:38.386,28,-6.844401,11.22787,5.228227
2025-04-11 10:46:38.387,33,17.26544,-20.15892,-2.69446
2025-04-11 10:46:38.387,37,2.416589,23.62361,-8.577198
2025-04-11 10:46:38.404,9,-0.3991283,-14.94569,-1.445496
2025-04-11 10:46:38.405,23,2.514613,-19.2577,-4.515155
2025-04-11 10:46:38.406,28,-6.849958,11.22695,5.219012
2025-04-11 10:46:38.406,33,17.27535,-20.16528,-2.728494
2025-04-11 10:46:38.407,37,2.416114,23.6224,-8.593037
2025-04-11 10:46:38.420,9,-0.3965481,-14.94796,-1.462021
2025-04-11 10:46:38.422,23,2.51201,-19.25889,-4.528719
